"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2021","1,088.16","1,088.40","1,092.37","1,085.36","-","0.03%"
"Apr 07, 2021","1,087.82","1,094.48","1,094.48","1,087.32","-","-0.55%"
"Apr 06, 2021","1,093.89","1,092.23","1,101.05","1,092.23","-","0.18%"
"Apr 01, 2021","1,091.97","1,090.72","1,094.25","1,089.93","-","0.13%"
"Mar 31, 2021","1,090.50","1,093.28","1,097.03","1,090.07","-","-0.14%"
"Mar 30, 2021","1,092.00","1,089.08","1,094.06","1,087.52","-","0.27%"
"Mar 29, 2021","1,089.08","1,094.68","1,094.73","1,083.20","-","-0.50%"
"Mar 26, 2021","1,094.50","1,082.86","1,095.31","1,082.86","-","1.03%"
"Mar 25, 2021","1,083.37","1,090.62","1,090.62","1,077.71","-","-0.63%"
"Mar 24, 2021","1,090.19","1,089.06","1,091.07","1,082.66","-","0.12%"
"Mar 23, 2021","1,088.84","1,084.59","1,089.54","1,084.59","-","0.39%"
"Mar 22, 2021","1,084.65","1,084.49","1,090.18","1,084.05","-","0.42%"
"Mar 19, 2021","1,080.07","1,095.46","1,095.46","1,079.27","-","-1.43%"
"Mar 18, 2021","1,095.79","1,081.91","1,096.98","1,081.36","-","1.26%"
"Mar 17, 2021","1,082.14","1,077.63","1,083.74","1,077.33","-","0.38%"
"Mar 16, 2021","1,078.08","1,081.54","1,083.04","1,077.50","-","-0.32%"
"Mar 15, 2021","1,081.51","1,077.39","1,084.24","1,077.31","-","0.39%"
"Mar 12, 2021","1,077.33","1,074.01","1,077.33","1,070.91","-","0.34%"
"Mar 11, 2021","1,073.65","1,070.86","1,077.14","1,069.39","-","0.26%"
"Mar 10, 2021","1,070.86","1,065.40","1,073.32","1,064.61","-","0.51%"
"Mar 09, 2021","1,065.40","1,065.40","1,066.97","1,058.91","-","0.03%"
"Mar 08, 2021","1,065.05","1,067.04","1,071.68","1,060.08","-","-0.24%"
"Mar 05, 2021","1,067.58","1,058.47","1,071.53","1,053.58","-","0.86%"
"Mar 04, 2021","1,058.47","1,056.05","1,061.84","1,053.46","-","0.23%"
"Mar 03, 2021","1,056.05","1,069.57","1,073.81","1,056.05","-","-1.26%"
"Mar 02, 2021","1,069.57","1,066.72","1,072.80","1,066.72","-","0.31%"
"Mar 01, 2021","1,066.26","1,057.60","1,073.39","1,057.60","-","0.82%"
"Feb 26, 2021","1,057.60","1,067.49","1,067.49","1,052.95","-","-0.96%"
"Feb 25, 2021","1,067.84","1,053.06","1,068.88","1,053.06","-","1.40%"
"Feb 24, 2021","1,053.06","1,043.40","1,060.29","1,043.40","-","1.05%"
"Feb 23, 2021","1,042.16","1,041.95","1,049.22","1,041.29","-","-0.05%"
"Feb 22, 2021","1,042.64","1,054.18","1,054.18","1,038.06","-","-1.11%"
"Feb 19, 2021","1,054.36","1,055.67","1,057.65","1,048.44","-","-0.17%"
"Feb 18, 2021","1,056.13","1,060.14","1,064.53","1,055.71","-","-0.35%"
"Feb 17, 2021","1,059.85","1,069.94","1,073.16","1,059.06","-","-0.98%"
"Feb 16, 2021","1,070.35","1,071.65","1,077.70","1,068.15","-","-0.11%"
"Feb 15, 2021","1,071.51","1,060.39","1,075.13","1,060.39","-","1.05%"
"Feb 12, 2021","1,060.37","1,055.23","1,061.64","1,055.08","-","0.49%"
"Feb 11, 2021","1,055.23","1,060.66","1,062.27","1,055.23","-","-0.51%"
"Feb 10, 2021","1,060.64","1,059.57","1,064.61","1,058.79","-","0.14%"
"Feb 09, 2021","1,059.15","1,063.85","1,063.85","1,056.69","-","-0.32%"
"Feb 08, 2021","1,062.60","1,062.96","1,070.74","1,062.39","-","-0.01%"
"Feb 05, 2021","1,062.68","1,051.75","1,062.68","1,051.40","-","1.12%"
"Feb 04, 2021","1,050.92","1,051.92","1,056.25","1,048.05","-","0.10%"
"Feb 03, 2021","1,049.85","1,048.55","1,054.99","1,048.12","-","0.21%"
"Feb 02, 2021","1,047.66","1,029.04","1,049.50","1,029.04","-","1.91%"
"Feb 01, 2021","1,028.07","1,018.74","1,034.14","1,018.19","-","1.05%"
"Jan 29, 2021","1,017.36","1,028.68","1,029.15","1,012.70","-","-1.02%"
"Jan 28, 2021","1,027.89","1,035.78","1,035.78","1,011.05","-","-0.76%"
"Jan 27, 2021","1,035.78","1,057.50","1,057.78","1,034.57","-","-1.89%"
"Jan 26, 2021","1,055.77","1,061.10","1,061.15","1,054.96","-","-0.50%"
"Jan 25, 2021","1,061.07","1,049.27","1,072.26","1,049.27","-","1.14%"
"Jan 22, 2021","1,049.07","1,060.28","1,060.69","1,040.17","-","-0.94%"
"Jan 21, 2021","1,059.04","1,075.68","1,077.50","1,058.14","-","-1.47%"
"Jan 20, 2021","1,074.86","1,072.99","1,077.96","1,070.50","-","0.17%"
"Jan 19, 2021","1,072.99","1,074.95","1,079.82","1,072.47","-","-0.18%"
"Jan 18, 2021","1,074.97","1,073.18","1,080.95","1,068.62","-","0.13%"
"Jan 15, 2021","1,073.53","1,075.61","1,079.27","1,073.38","-","-0.19%"
"Jan 14, 2021","1,075.61","1,076.57","1,080.86","1,075.06","-","-0.09%"
"Jan 13, 2021","1,076.57","1,076.49","1,079.65","1,073.70","-","0.03%"
"Jan 12, 2021","1,076.29","1,071.71","1,081.22","1,071.71","-","0.43%"
"Jan 11, 2021","1,071.71","1,075.66","1,082.80","1,067.39","-","-0.35%"
"Jan 08, 2021","1,075.43","1,051.88","1,075.43","1,051.46","-","2.32%"
"Jan 07, 2021","1,051.05","1,037.54","1,051.05","1,037.26","-","1.30%"
"Jan 06, 2021","1,037.52","1,027.69","1,038.62","1,024.65","-","0.96%"
"Jan 05, 2021","1,027.67","1,029.27","1,029.27","1,019.93","-","-0.16%"
"Jan 04, 2021","1,029.27","1,028.19","1,036.00","1,025.53","-","0.21%"
"Dec 30, 2020","1,027.14","1,030.48","1,031.17","1,025.35","-","-0.34%"
"Dec 29, 2020","1,030.62","1,023.86","1,033.73","1,023.86","-","0.71%"
"Dec 28, 2020","1,023.40","1,009.60","1,024.02","1,009.60","-","1.45%"
"Dec 23, 2020","1,008.78","1,002.07","1,008.89","999.07","-","0.69%"
"Dec 22, 2020","1,001.90","978.07","1,003.92","978.07","-","2.44%"
"Dec 21, 2020","978.07","1,009.23","1,009.23","965.92","-","-3.09%"
"Dec 18, 2020","1,009.23","1,009.98","1,012.71","1,006.57","-","-0.03%"
"Dec 17, 2020","1,009.51","998.82","1,009.99","998.73","-","1.07%"
"Dec 16, 2020","998.82","989.87","1,001.12","989.43","-","1.16%"
"Dec 15, 2020","987.38","983.02","989.16","980.66","-","0.57%"
"Dec 14, 2020","981.78","968.51","985.59","967.05","-","1.37%"
"Dec 11, 2020","968.51","977.17","979.64","962.79","-","-0.83%"
"Dec 10, 2020","976.64","990.50","990.59","973.46","-","-1.38%"
"Dec 09, 2020","990.33","977.24","992.12","977.24","-","1.35%"
"Dec 08, 2020","977.10","973.13","979.70","972.88","-","0.41%"
"Dec 07, 2020","973.13","972.54","978.45","966.65","-","0.06%"
"Dec 04, 2020","972.54","966.36","980.71","965.86","-","0.67%"
"Dec 03, 2020","966.04","961.52","968.69","961.52","-","0.45%"
"Dec 02, 2020","961.70","964.65","965.79","959.73","-","-0.26%"
"Dec 01, 2020","964.24","967.14","971.29","962.01","-","-0.23%"
"Nov 30, 2020","966.44","966.61","970.37","965.08","-","-0.19%"
"Nov 27, 2020","968.32","965.63","969.87","962.67","-","0.33%"
"Nov 26, 2020","965.09","965.76","965.84","960.08","-","-0.17%"
"Nov 25, 2020","966.76","956.13","968.64","956.13","-","1.11%"
"Nov 24, 2020","956.13","955.84","963.17","955.84","-","0.10%"
"Nov 23, 2020","955.22","942.11","960.11","942.11","-","1.39%"
"Nov 20, 2020","942.15","938.96","942.15","936.38","-","0.39%"
"Nov 19, 2020","938.51","945.49","946.36","935.17","-","-0.72%"
"Nov 18, 2020","945.27","935.02","946.80","933.09","-","1.13%"
"Nov 16, 2020","934.75","911.80","935.68","911.47","-","2.55%"
"Nov 13, 2020","911.54","908.23","914.16","904.32","-","0.32%"
"Nov 12, 2020","908.59","906.79","908.67","902.59","-","0.13%"
"Nov 11, 2020","907.45","904.41","910.91","900.18","-","0.34%"
"Nov 10, 2020","904.38","893.38","908.73","892.93","-","1.23%"
"Nov 09, 2020","893.39","867.02","896.03","867.02","-","3.25%"
"Nov 06, 2020","865.26","872.35","872.35","857.99","-","-0.83%"
"Nov 05, 2020","872.48","865.01","872.48","861.56","-","0.86%"
"Nov 04, 2020","865.01","856.51","867.16","852.05","-","0.99%"
"Nov 03, 2020","856.51","846.34","857.52","845.41","-","1.31%"
"Nov 02, 2020","845.44","843.01","851.10","843.01","-","0.30%"
